Track,Message Type,Note,Velocity,Duration,Tempo,Time
1,note_on,81,60,0,750000,85200
1,note_on,88,66,0,750000,85440
1,note_on,86,55,0,750000,87000
1,note_on,88,47,0,750000,87060
1,note_on,86,62,0,750000,87120
1,note_on,84,57,0,750000,87360
1,note_on,86,57,0,750000,87600
1,note_on,88,62,0,750000,87840
1,note_on,89,64,0,750000,88080
1,note_on,91,67,0,750000,88320
1,note_on,88,66,0,750000,88560
1,note_on,89,64,0,750000,88800
1,note_on,88,61,0,750000,89040
1,note_on,86,59,0,750000,89160
1,note_on,88,55,0,750000,89220
1,note_on,86,67,0,750000,89280
1,note_on,84,60,0,750000,89760
1,note_on,82,57,0,750000,90240
1,note_on,57,50,0,750000,90960
1,note_on,61,51,0,750000,91200
1,note_on,64,54,0,750000,91440
1,note_on,69,57,0,750000,91680
1,note_on,73,58,0,750000,91920
1,note_on,76,61,0,750000,92160
1,note_on,69,50,0,750000,92400
1,note_on,73,51,0,750000,92640
1,note_on,76,54,0,750000,92880
1,note_on,81,57,0,750000,93120
1,note_on,85,58,0,750000,93360
1,note_on,88,64,0,750000,93600
1,note_on,85,60,0,750000,93840
1,note_on,81,58,0,750000,94080
1,note_on,76,57,0,750000,94320
1,note_on,73,55,0,750000,94560
1,note_on,69,53,0,750000,94800
1,note_on,76,51,0,750000,95040
1,note_on,73,48,0,750000,95280
1,note_on,69,46,0,750000,95520
1,note_on,64,44,0,750000,95760
1,note_on,61,44,0,750000,96000
1,note_on,57,42,0,750000,96240
1,note_on,81,51,0,750000,96720
1,note_on,88,56,0,750000,96960
1,note_on,86,46,0,750000,98520
1,note_on,88,41,0,750000,98580
1,note_on,86,52,0,750000,98640
1,note_on,84,48,0,750000,98880
1,note_on,86,48,0,750000,99120
1,note_on,88,52,0,750000,99360
1,note_on,89,54,0,750000,99600
1,note_on,91,56,0,750000,99840
1,note_on,88,56,0,750000,100080
1,note_on,89,54,0,750000,100320
1,note_on,88,51,0,750000,100560
1,note_on,86,51,0,750000,100680
1,note_on,88,47,0,750000,100740
1,note_on,86,56,0,750000,100800
1,note_on,84,51,0,750000,101280
1,note_on,82,48,0,750000,101760
1,note_on,81,44,0,750000,102240
1,note_on,82,46,0,750000,102480
1,note_on,84,48,0,750000,102720
1,note_on,86,50,0,750000,102960
1,note_on,89,52,0,750000,103200
1,note_on,86,49,0,750000,103560
1,note_on,88,42,0,750000,103620
1,note_on,86,56,0,750000,103680
1,note_on,84,51,0,750000,104160
1,note_on,82,48,0,750000,104640
1,note_on,81,46,0,750000,105120
1,note_on,82,47,0,750000,105360
1,note_on,84,49,0,750000,105600
1,note_on,86,51,0,750000,105840
1,note_on,88,53,0,750000,106080
1,note_on,91,57,0,750000,106320
1,note_on,89,55,0,750000,106560
1,note_on,86,46,0,750000,106680
1,note_on,88,40,0,750000,106740
1,note_on,86,50,0,750000,106800
1,note_on,84,50,0,750000,107040
1,note_on,82,45,0,750000,107280
1,note_on,86,49,0,750000,107520
1,note_on,85,44,0,750000,107760
1,note_on,70,51,0,750000,108160
1,note_on,61,29,0,750000,108160
1,note_on,69,46,0,750000,108320
1,note_on,61,29,0,750000,108640
1,note_on,70,52,0,750000,108640
1,note_on,69,45,0,750000,108800
1,note_on,61,29,0,750000,109120
1,note_on,70,51,0,750000,109120
1,note_on,69,45,0,750000,109280
1,note_on,62,27,0,750000,109600
1,note_on,69,48,0,750000,109600
1,note_on,67,41,0,750000,109760
1,note_on,69,48,0,750000,110080
1,note_on,62,27,0,750000,110080
1,note_on,67,40,0,750000,110240
1,note_on,62,27,0,750000,110560
1,note_on,69,47,0,750000,110560
1,note_on,67,40,0,750000,110720
1,note_on,61,29,0,750000,111040
1,note_on,70,51,0,750000,111040
1,note_on,69,46,0,750000,111200
1,note_on,70,52,0,750000,111520
1,note_on,61,42,0,750000,111520
1,note_on,69,45,0,750000,111680
1,note_on,61,42,0,750000,112000
1,note_on,70,51,0,750000,112000
1,note_on,69,45,0,750000,112160
1,note_on,70,48,0,750000,112480
1,note_on,62,27,0,750000,112480
1,note_on,69,41,0,750000,112640
1,note_on,69,48,0,750000,112960
1,note_on,62,27,0,750000,112960
1,note_on,67,40,0,750000,113120
1,note_on,67,47,0,750000,113440
1,note_on,62,27,0,750000,113440
1,note_on,64,40,0,750000,113600
1,note_on,61,30,0,750000,113920
1,note_on,70,53,0,750000,113920
1,note_on,69,48,0,750000,114080
1,note_on,70,55,0,750000,114400
1,note_on,61,31,0,750000,114400
1,note_on,69,48,0,750000,114560
1,note_on,70,56,0,750000,114880
1,note_on,61,31,0,750000,114880
1,note_on,69,49,0,750000,115040
1,note_on,67,57,0,750000,115360
1,note_on,57,32,0,750000,115360
1,note_on,65,50,0,750000,115520
1,note_on,57,33,0,750000,115840
1,note_on,67,58,0,750000,115840
1,note_on,65,48,0,750000,116000
1,note_on,67,58,0,750000,116320
1,note_on,57,32,0,750000,116320
1,note_on,65,49,0,750000,116480
1,note_on,60,34,0,750000,116800
1,note_on,65,60,0,750000,116800
1,note_on,64,53,0,750000,116960
1,note_on,65,61,0,750000,117280
1,note_on,60,35,0,750000,117280
